node_id,in_degree,out_degree,clustering_coefficient,triangle_count,betweenness_centrality,closeness_centrality,eigenvector_centrality,mean_neighbor_degree,max_neighbor_degree,mean_neighbor_clustering,mean_neighbor_betweenness,mean_neighbor_closeness
1033,2,3,0.1,1,0.002429835146308852,0.181710022390929,0.05220689502891868,39.6,168,0.08773569743629624,0.04818810814903979,0.1758653187928439
35,166,3,0.01140575990875392,160,0.23248831450559274,0.22276881556604902,0.6542996956637285,5.178571428571429,30,0.3753021207399585,0.0027892591111456587,0.18245923973208683
103482,5,1,0.13333333333333333,2,0.004510289343940947,0.1862382973177395,0.05028077460083119,30.666666666666668,168,0.20190095998479232,0.04058361352524511,0.18257381474410603
103515,9,2,0.16363636363636364,9,0.0016807366772738266,0.18050130827302927,0.07250762020256232,20.0,168,0.34108017730772217,0.022325183305384508,0.1737668013199908
1050679,0,4,0.16666666666666666,1,0.02407837711834658,0.20734745027488527,0.05056741628680385,63.0,168,0.049125478438726944,0.09570702687126882,0.20788536787193457
1103960,0,5,0.3,3,0.014910624854201112,0.20225115535686014,0.05680750531258917,50.8,168,0.11232846577906457,0.07239751710272754,0.19650796298356962
1103985,0,2,1.0,1,0.0,0.17940736095016244,0.05173704696068275,92.5,168,0.04982052701320049,0.11756422094992941,0.201527986082155
1109199,0,3,0.3333333333333333,1,0.008965254019513483,0.19513487893774623,0.050075536516602584,67.66666666666667,168,0.13709045043553444,0.0913203546617572,0.20620649407404323
1112911,0,4,0.3333333333333333,2,0.002413679750635914,0.19095003106909725,0.053878367747146404,54.25,168,0.06318133996226089,0.07620670152833937,0.19113409336789125
1113438,0,5,0.2,2,0.0030793377819808834,0.18398341438952406,0.05297921996305958,39.8,168,0.09561448531508412,0.049966828489683014,0.17870747335812273
1113831,0,3,0.3333333333333333,1,0.0006779390761298553,0.1793650079376624,0.049502838618711874,58.333333333333336,168,0.07046858663625132,0.0778972597726033,0.18414994275008048
1114331,0,5,0.3,3,0.0016483521820987845,0.1795204001631735,0.06064972979704351,39.0,168,0.36806546570724097,0.0470567403170284,0.18276839044401458
1117476,0,3,0.3333333333333333,1,0.00019742465331897083,0.17950626247218568,0.05302967521690363,64.0,168,0.06372255489021957,0.0792880118211695,0.18962900120061665
1119505,0,2,0.0,0,0.0006779390761298551,0.17929446400313173,0.04568443786025723,84.5,168,0.00570287995437696,0.11624415725279637,0.18638343781960695
1119708,0,5,0.4,4,8.39869899010174e-05,0.1796760618691324,0.06407696983015948,42.6,168,0.20532086589102994,0.04807210285142713,0.18535491860474712
1120431,0,4,0.16666666666666666,1,0.0069321633464175525,0.18746365004291585,0.04660938315105055,46.75,168,0.12189905902480752,0.062191167179569386,0.18408880824524448
1123756,0,4,0.16666666666666666,1,0.004005794956263533,0.18121883613227968,0.051915803776490986,46.75,168,0.05588174300749151,0.05910201733528866,0.17863299176250597
1125386,0,4,0.0,0,0.009306054754118227,0.1937745915898847,0.047105174683750944,52.25,168,0.013565725691474195,0.0718533367987954,0.18854734628115882
1127430,0,2,1.0,1,0.0,0.17940736095016244,0.05235979408262921,92.5,168,0.05349699760143578,0.11714938221985878,0.2023336744365962
1127913,0,4,0.5,3,6.928223978106701e-06,0.17954868222700385,0.06221034596882054,51.25,168,0.1468567100694151,0.06008233876639228,0.1916776830011886
1128204,0,2,0.0,0,0.00042752519839578217,0.1793650079376624,0.046548744912031106,87.0,168,0.07236954662104363,0.11692685864975563,0.18988053426803772
1128227,0,4,0.16666666666666666,1,0.0008988443953549827,0.17935089471019072,0.0505505573917264,44.0,168,0.16951810664385514,0.05814172995721819,0.17574897632562123
