node_id,in_degree,out_degree,clustering_coefficient,triangle_count,betweenness_centrality,closeness_centrality,eigenvector_centrality,mean_neighbor_degree,max_neighbor_degree,mean_neighbor_clustering,mean_neighbor_betweenness,mean_neighbor_closeness,label
1033,2,3,0.1,1,0.0024298351463088,0.181710022390929,0.0522068950289186,39.6,168,0.0877356974362962,0.0481881081490397,0.1758653187928439,1
35,166,3,0.0114057599087539,160,0.2324883145055927,0.222768815566049,0.6542996956637285,5.178571428571429,30,0.3753021207399585,0.0027892591111456,0.1824592397320868,1
103482,5,1,0.1333333333333333,2,0.0045102893439409,0.1862382973177395,0.0502807746008311,30.666666666666668,168,0.2019009599847923,0.0405836135252451,0.182573814744106,2
103515,9,2,0.1636363636363636,9,0.0016807366772738,0.1805013082730292,0.0725076202025623,20.0,168,0.3410801773077221,0.0223251833053845,0.1737668013199908,1
1050679,0,4,0.1666666666666666,1,0.0240783771183465,0.2073474502748852,0.0505674162868038,63.0,168,0.0491254784387269,0.0957070268712688,0.2078853678719345,1
1103960,0,5,0.3,3,0.0149106248542011,0.2022511553568601,0.0568075053125891,50.8,168,0.1123284657790645,0.0723975171027275,0.1965079629835696,1
1103985,0,2,1.0,1,0.0,0.1794073609501624,0.0517370469606827,92.5,168,0.0498205270132004,0.1175642209499294,0.201527986082155,1
1109199,0,3,0.3333333333333333,1,0.0089652540195134,0.1951348789377462,0.0500755365166025,67.66666666666667,168,0.1370904504355344,0.0913203546617572,0.2062064940740432,1
1112911,0,4,0.3333333333333333,2,0.0024136797506359,0.1909500310690972,0.0538783677471464,54.25,168,0.0631813399622608,0.0762067015283393,0.1911340933678912,1
1113438,0,5,0.2,2,0.0030793377819808,0.183983414389524,0.0529792199630595,39.8,168,0.0956144853150841,0.049966828489683,0.1787074733581227,1
1113831,0,3,0.3333333333333333,1,0.0006779390761298,0.1793650079376624,0.0495028386187118,58.333333333333336,168,0.0704685866362513,0.0778972597726033,0.1841499427500804,1
1114331,0,5,0.3,3,0.0016483521820987,0.1795204001631735,0.0606497297970435,39.0,168,0.3680654657072409,0.0470567403170284,0.1827683904440145,1
1117476,0,3,0.3333333333333333,1,0.0001974246533189,0.1795062624721856,0.0530296752169036,64.0,168,0.0637225548902195,0.0792880118211695,0.1896290012006166,1
1119505,0,2,0.0,0,0.0006779390761298,0.1792944640031317,0.0456844378602572,84.5,168,0.0057028799543769,0.1162441572527963,0.1863834378196069,1
1119708,0,5,0.4,4,8.39869899010174e-05,0.1796760618691324,0.0640769698301594,42.6,168,0.2053208658910299,0.0480721028514271,0.1853549186047471,1
1120431,0,4,0.1666666666666666,1,0.0069321633464175,0.1874636500429158,0.0466093831510505,46.75,168,0.1218990590248075,0.0621911671795693,0.1840888082452444,2
1123756,0,4,0.1666666666666666,1,0.0040057949562635,0.1812188361322796,0.0519158037764909,46.75,168,0.0558817430074915,0.0591020173352886,0.1786329917625059,1
1125386,0,4,0.0,0,0.0093060547541182,0.1937745915898847,0.0471051746837509,52.25,168,0.0135657256914741,0.0718533367987954,0.1885473462811588,6
1127430,0,2,1.0,1,0.0,0.1794073609501624,0.0523597940826292,92.5,168,0.0534969976014357,0.1171493822198587,0.2023336744365962,1
1127913,0,4,0.5,3,6.928223978106701e-06,0.1795486822270038,0.0622103459688205,51.25,168,0.1468567100694151,0.0600823387663922,0.1916776830011886,1
1128204,0,2,0.0,0,0.0004275251983957,0.1793650079376624,0.0465487449120311,87.0,168,0.0723695466210436,0.1169268586497556,0.1898805342680377,1
1128227,0,4,0.1666666666666666,1,0.0008988443953549,0.1793508947101907,0.0505505573917264,44.0,168,0.1695181066438551,0.0581417299572181,0.1757489763256212,1
1128314,0,3,0.3333333333333333,1,0.0006779390761298,0.1793791233864652,0.0507472489246741,60.0,168,0.0583473745150391,0.0780563503942888,0.1844424775507442,1
1128453,0,4,0.8333333333333334,5,0.0005059965109521,0.1795062624721856,0.0554757537944155,47.25,168,0.3582085828343313,0.0590212769440767,0.183138555268115,1
1128945,0,1,0.0,0,0.0,0.1792662619639649,0.0454638579308774,168.0,168,0.0114057599087539,0.2324883145055927,0.222768815566049,1
1128959,0,2,0.0,0,0.0001061092515779,0.1798461828050981,0.0465942723101479,88.0,168,0.1307028799543769,0.1164091108035425,0.1959182499752739,1
1128985,0,4,0.1666666666666666,1,0.0007002390060774,0.1797752599472997,0.0486587917865066,47.0,168,0.087375249500998,0.0584817873541082,0.1723947406400252,1
1129018,0,2,0.0,0,0.0001965988422354,0.1798461828050981,0.0461346102079787,87.5,168,0.0057028799543769,0.1168753561563865,0.19459740869102,1
1129027,0,2,1.0,1,0.0,0.1794073609501624,0.0523597940826292,92.5,168,0.0534969976014357,0.1171493822198587,0.2023336744365962,1
1129573,0,3,0.3333333333333333,1,0.0002413111985744,0.1835094212118037,0.0531633957981703,67.33333333333333,168,0.1076980238656885,0.0831136771008612,0.1974899870833125,1
1129683,0,5,0.4,4,0.0039591245722197,0.1829497167406544,0.0592568588155681,41.6,168,0.1466628572330212,0.0504887528433425,0.1839107722393221,1
1129778,0,4,0.5,3,0.0002127320608002,0.1794073609501624,0.0563785854276143,47.5,168,0.1985224356481841,0.0586746084074263,0.183735536726212,1
1130847,0,3,1.0,3,0.0,0.1793085683505202,0.055241173403555,61.0,168,0.4078423240099886,0.0777288328264623,0.1941452893076282,1
1130856,0,2,1.0,1,0.0,0.1792944640031317,0.0514025504782543,90.0,168,0.111763486014983,0.1165932492396935,0.2015636497861822,1
1131116,0,4,0.3333333333333333,2,0.002032179034891,0.1793650079376624,0.0505296261239056,44.5,168,0.4361847733105218,0.0582947664862701,0.1756225114298645,1
1131360,0,4,0.1666666666666666,1,0.0023544647059813,0.1795628266008991,0.0522981702606162,47.75,168,0.0665769301732669,0.0590444236242977,0.1759536205922028,1
1131557,0,2,0.0,0,0.0009766126492381,0.1793226749171437,0.0456872998905081,85.0,168,0.0057028799543769,0.1163955780771774,0.1864377670478191,1
1131752,0,2,1.0,1,0.0,0.1792803618744544,0.0488590129231171,85.0,168,0.505702879954377,0.1162441572527963,0.2010245887202517,1
1133196,0,2,0.0,0,0.0010153801325503,0.1795062624721856,0.0457559571715173,85.5,168,0.0057028799543769,0.116593206156123,0.187632836259368,1
